AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome
A687076,Yes,2014-08-30 17:55:00,Austin (TX),Stray,Normal,Cat,Intact Female,76,Mixed Breed,Dark,2014-09-05 14:33:00,2014-06-15 00:00:00,Spayed Female,82,0
A685139,No,2014-08-03 11:23:00,Austin (TX),Stray,Normal,Dog,Intact Female,92,Mixed Breed,Light,2014-08-07 18:09:00,2014-05-03 00:00:00,Spayed Female,96,0
A741039,Yes,2016-12-27 11:18:00,Austin (TX),Stray,Normal,Dog,Intact Male,366,Pure Breed,Dark,2017-01-01 15:27:00,2015-12-27 00:00:00,Intact Male,371,0
A759166,Yes,2017-09-28 11:03:00,Austin (TX),Stray,Normal,Cat,Intact Male,62,Pure Breed,Dark,2017-11-04 18:11:00,2017-07-28 00:00:00,Neutered Male,99,0
A696479,Yes,2015-02-05 11:51:00,Travis (TX),Stray,Normal,Cat,Intact Male,365,Mixed Breed,Dark,2015-02-15 11:39:00,2014-02-05 00:00:00,Neutered Male,375,0
A712448,Yes,2015-09-23 12:41:00,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1095,Mixed Breed,Light,2015-09-27 19:30:00,2012-09-23 00:00:00,Spayed Female,1099,0
A623526,Yes,2019-11-15 13:25:00,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,2874,Pure Breed,Dark,2019-11-27 11:52:00,2012-01-02 00:00:00,Spayed Female,2886,0
A684122,Yes,2014-07-19 16:45:00,Austin (TX),Stray,Normal,Dog,Neutered Male,4383,Mixed Breed,Light,2014-07-20 13:38:00,2002-07-19 00:00:00,Neutered Male,4384,0
A749100,Yes,2017-05-11 11:26:00,Austin (TX),Stray,Normal,Dog,Intact Male,731,Mixed Breed,Dark,2017-05-19 16:00:00,2015-05-11 00:00:00,Neutered Male,739,0
A658088,Yes,2016-05-19 18:17:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,1565,Mixed Breed,Light,2016-05-25 16:11:00,2012-02-05 00:00:00,Spayed Female,1571,0
