Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A687076,Katy,08/30/2014 05:55:00 PM,08/30/2014 05:55:00 PM,Acorn Oaks And Cooper in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie,Katy,09/05/2014 14:33,09/05/2014 14:33,06/15/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A685139,,08/03/2014 11:23,08/03/2014 11:23,Pleasant Valley/Oltorf in Austin (TX),Stray,Other,Dog,Intact Female,3 months,Cavalier Span Mix,White/Black,,08/07/2014 18:09,08/07/2014 18:09,05/03/2014,Dog,Spayed Female,3 months,Cavalier Span Mix,White/Black,0
A741039,Dexter,12/27/2016 11:18:00 AM,12/27/2016 11:18:00 AM,12Th St And Airport Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Jack Russell Terrier,Black/White,Dexter,01/01/2017 15:27,01/01/2017 15:27,12/27/2015,Dog,Intact Male,1 year,Jack Russell Terrier,Black/White,0
A759166,Archie,09/28/2017 11:03:00 AM,09/28/2017 11:03:00 AM,Brockman And Pompton in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Black,Archie,11/04/2017 18:11,11/04/2017 18:11,07/28/2017,Cat,Neutered Male,3 months,Domestic Shorthair,Black,0
A696479,Chocolate,02/05/2015 11:51,02/05/2015 11:51,3012 Guerrero Dr in Travis (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Black,Chocolate,02/15/2015 11:39:00 AM,02/15/2015 11:39:00 AM,02/05/2014,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black,0
A712448,*Bettie,09/23/2015 12:41:00 PM,09/23/2015 12:41:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan/White,*Bettie,09/27/2015 07:30:00 PM,09/27/2015 07:30:00 PM,09/23/2012,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan/White,0
A623526,Kali,11/15/2019 01:25:00 PM,11/15/2019 01:25:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Rottweiler/Labrador Retriever,Black/Tan,Kali,11/27/2019 11:52:00 AM,11/27/2019 11:52:00 AM,01/02/2012,Dog,Spayed Female,7 years,Rottweiler/Labrador Retriever,Black/Tan,0
A684122,Mitch,07/19/2014 04:45:00 PM,07/19/2014 04:45:00 PM,7107 Brodie Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,12 years,Standard Schnauzer Mix,Gray,Mitch,07/20/2014 01:38:00 PM,07/20/2014 01:38:00 PM,07/19/2002,Dog,Neutered Male,12 years,Standard Schnauzer Mix,Gray,0
A749100,*Ajax,05/11/2017 11:26,05/11/2017 11:26,Mcneil And Blackfoot Trail in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Boxer Mix,Brown Brindle/White,*Ajax,05/19/2017 04:00:00 PM,05/19/2017 04:00:00 PM,05/11/2015,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle/White,0
A658088,Zoe,05/19/2016 06:17:00 PM,05/19/2016 06:17:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,4 years,Australian Shepherd Mix,Tricolor,Zoe,05/25/2016 04:11:00 PM,05/25/2016 04:11:00 PM,02/05/2012,Dog,Spayed Female,4 years,Australian Shepherd Mix,Tricolor,0
A686155,*Jango,08/17/2014 02:20:00 PM,08/17/2014 02:20:00 PM,14904 Hoot Owl Ct in Travis (TX),Stray,Normal,Dog,Intact Male,5 months,Australian Cattle Dog Mix,Black/Blue Tick,*Jango,08/22/2014 05:43:00 PM,08/22/2014 05:43:00 PM,02/17/2014,Dog,Neutered Male,6 months,Australian Cattle Dog Mix,Black/Blue Tick,0
A810818,,12/21/2019 10:51:00 AM,12/21/2019 10:51:00 AM,Turnsville Road And Palmer Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Pointer,Black/Blue Tick,,12/29/2019 07:15:00 PM,12/29/2019 07:15:00 PM,10/06/2019,Dog,Neutered Male,2 months,Pointer,Black/Blue Tick,0
A693389,Emmie,12/07/2014 09:45,12/07/2014 09:45,2703 Alcott Ln in Austin (TX),Public Assist,Normal,Dog,Intact Female,11 months,Chihuahua Shorthair Mix,Tan,Emmie,12/11/2014 16:38,12/11/2014 16:38,12/10/2013,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,0
A668202,Max,11/29/2013 02:55:00 PM,11/29/2013 02:55:00 PM,1910 Greenbrook in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,German Shepherd Mix,Brown/White,Max,12/08/2013 13:01,12/08/2013 13:01,01/29/2013,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White,0
A763969,Bentley,12/19/2017 12:15:00 PM,12/19/2017 12:15:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tricolor,Bentley,12/20/2017 07:11:00 PM,12/20/2017 07:11:00 PM,12/19/2015,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tricolor,0
A753598,,07/08/2017 14:29,07/08/2017 14:29,1009 East 8Th Street in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Maine Coon Mix,Brown Tabby,,07/11/2017 19:03,07/11/2017 19:03,07/08/2015,Cat,Intact Male,2 years,Maine Coon Mix,Brown Tabby,0
A760619,,10/21/2017 10:40:00 AM,10/21/2017 10:40:00 AM,600 Blue Valley Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Black,,10/27/2017 05:19:00 PM,10/27/2017 05:19:00 PM,05/21/2017,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black,0
A702088,,05/09/2015 10:54,05/09/2015 10:54,8024 Cobblestone in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon,Gray/Black,,05/09/2015 11:06,05/09/2015 11:06,05/09/2014,Other,Unknown,1 year,Raccoon,Gray/Black,1
A611682,Estrella,12/26/2013 07:28:00 AM,12/26/2013 07:28:00 AM,4434 Frontier in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Miniature Poodle Mix,Gray,Estrella,12/26/2013 12:01:00 PM,12/26/2013 12:01:00 PM,02/11/2011,Dog,Intact Female,2 years,Miniature Poodle Mix,Gray,0
A765801,Jake,03/18/2018 02:06:00 PM,03/18/2018 02:06:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,11 months,Labrador Retriever Mix,Red,Jake,03/24/2018 03:23:00 PM,03/24/2018 03:23:00 PM,03/27/2017,Dog,Neutered Male,11 months,Labrador Retriever Mix,Red,0
A687090,Brownie,08/31/2014 11:19:00 AM,08/31/2014 11:19:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle,Brownie,09/01/2014 14:35,09/01/2014 14:35,03/03/2013,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle,1
A710320,Yoshi,08/21/2015 02:33:00 PM,08/21/2015 02:33:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White,Yoshi,09/01/2015 16:36,09/01/2015 16:36,01/21/2010,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White,0
A744018,Angel,02/21/2017 03:29:00 PM,02/21/2017 03:29:00 PM,500 E St Johns Ave in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Maltese Mix,White,Angel,02/28/2017 11:32:00 AM,02/28/2017 11:32:00 AM,02/21/2016,Dog,Spayed Female,1 year,Maltese Mix,White,0
A767406,*Sissy,02/28/2018 01:01:00 PM,02/28/2018 01:01:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,7 months,Domestic Longhair Mix,Brown Tabby/White,*Sissy,03/03/2018 11:40,03/03/2018 11:40,07/28/2017,Cat,Spayed Female,7 months,Domestic Longhair Mix,Brown Tabby/White,0
A705319,Tiger,06/15/2015 06:35:00 PM,06/15/2015 06:35:00 PM,Austin (TX),Owner Surrender,Injured,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Tiger,06/20/2015 03:15:00 PM,06/20/2015 03:15:00 PM,03/15/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,0
A783552,Maloos,11/01/2018 14:05,11/01/2018 14:05,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Shih Tzu Mix,White/Black,Maloos,11/02/2018 13:07,11/02/2018 13:07,05/01/2017,Dog,Intact Female,1 year,Shih Tzu Mix,White/Black,0
A752977,,06/29/2017 03:11:00 PM,06/29/2017 03:11:00 PM,Dove Springs Dr And Nesting Way in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Beagle Mix,Tricolor,,07/03/2017 16:12,07/03/2017 16:12,04/29/2016,Dog,Spayed Female,1 year,Beagle Mix,Tricolor,0
A787607,Bobo,08/09/2019 11:26,08/09/2019 11:26,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,9 months,Australian Cattle Dog Mix,Black/Tricolor,Bobo,08/13/2019 10:55:00 AM,08/13/2019 10:55:00 AM,11/05/2018,Dog,Neutered Male,9 months,Australian Cattle Dog Mix,Black/Tricolor,0
A795666,*Lana,05/23/2019 12:19:00 PM,05/23/2019 12:19:00 PM,Decker Land And Webberville Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White,*Lana,07/20/2019 04:19:00 PM,07/20/2019 04:19:00 PM,04/17/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby/White,0
A768987,,03/28/2018 04:09:00 PM,03/28/2018 04:09:00 PM,1712 E 40Th St in Austin (TX),Stray,Normal,Other,Unknown,2 years,Rabbit Sh Mix,White/Black,,04/16/2018 06:29:00 PM,04/16/2018 06:29:00 PM,03/28/2016,Other,Unknown,2 years,Rabbit Sh Mix,White/Black,1
A729774,,06/23/2016 05:39:00 PM,06/23/2016 05:39:00 PM,8509 Fm 969 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,,07/09/2016 17:56,07/09/2016 17:56,05/09/2016,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black/White,0
A699244,Star Brite,04/26/2015 02:51:00 PM,04/26/2015 02:51:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 months,Boxer/Labrador Retriever,Brown,Star Brite,05/10/2015 17:12,05/10/2015 17:12,09/24/2014,Dog,Spayed Female,7 months,Boxer/Labrador Retriever,Brown,0
A809942,Ace,12/20/2019 01:17:00 PM,12/20/2019 01:17:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,4 months,German Shepherd,Tan/Black,Ace,12/20/2019 03:14:00 PM,12/20/2019 03:14:00 PM,08/05/2019,Dog,Neutered Male,4 months,German Shepherd,Tan/Black,0
A730645,*Midas,07/07/2016 23:45,07/07/2016 23:45,8926 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Labrador Retriever Mix,Brown,*Midas,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,07/07/2012,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown,0
A732284,,08/05/2016 13:07,08/05/2016 13:07,4900 Mueller Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black/Brown,,08/05/2016 13:15,08/05/2016 13:15,08/05/2015,Other,Unknown,1 year,Bat,Black/Brown,1
A688065,Harry,09/14/2014 11:15:00 AM,09/14/2014 11:15:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Black/White,Harry,11/07/2014 13:35,11/07/2014 13:35,09/14/2009,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Black/White,0
A738673,Simba,11/19/2016 11:27:00 AM,11/19/2016 11:27:00 AM,4800 Copperbend Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Australian Cattle Dog Mix,White/Black,Simba,11/19/2016 05:03:00 PM,11/19/2016 05:03:00 PM,05/19/2016,Dog,Intact Male,6 months,Australian Cattle Dog Mix,White/Black,0
A802527,*Fleece,08/19/2019 04:02:00 PM,08/19/2019 04:02:00 PM,6407 Springdale Road in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair,Orange Tabby,*Fleece,10/03/2019 13:11,10/03/2019 13:11,07/22/2019,Cat,Neutered Male,2 months,Domestic Medium Hair,Orange Tabby,0
A769953,,04/13/2018 07:09:00 AM,04/13/2018 07:09:00 AM,6902 Bee Caves Rd in Austin (TX),Stray,Nursing,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Gray Tabby,,04/13/2018 12:33:00 PM,04/13/2018 12:33:00 PM,03/28/2018,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Gray Tabby,0
A764882,Everest,01/08/2018 12:01,01/08/2018 12:01,Lightsey Road And Road in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Beagle Mix,Tricolor,Everest,01/08/2018 18:06,01/08/2018 18:06,04/08/2017,Dog,Intact Male,9 months,Beagle Mix,Tricolor,0
A518937,Gwen,11/12/2015 11:21,11/12/2015 11:21,1511 Cripple Creek Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate,Gwen,11/17/2015 01:30:00 PM,11/17/2015 01:30:00 PM,08/11/2006,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate,0
