AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,ColorOriginal,BreedOriginal,percent,SexKnown,CatOrDog,AgeIntake_bins,SickOrInjured
A815848,No,2020-03-27 18:54:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-27 19:00:00,2019-03-27 00:00:00,Unknown,366,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815835,No,2020-03-27 14:10:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-27 15:12:00,2018-03-27 00:00:00,Unknown,731,1.0,Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815834,No,2020-03-27 13:48:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-27 15:12:00,2018-03-27 00:00:00,Unknown,731,1.0,Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815821,No,2020-03-26 23:45:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-27 09:08:00,2018-03-26 00:00:00,Unknown,732,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815816,No,2020-03-26 23:21:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-27 09:05:00,2018-03-26 00:00:00,Unknown,732,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815814,No,2020-03-26 23:05:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-27 08:16:00,2018-03-26 00:00:00,Unknown,732,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815813,No,2020-03-26 16:54:00,Austin (TX),Abandoned,Normal,Dog,Intact Male,1096,Mixed Breed,Dark,2020-03-26 17:04:00,2017-03-26 00:00:00,Intact Male,1096,0.0,Black,Labrador Retriever Mix,0.11655011655011654,1,1,"(1095.0, 1654.2]",0
A815799,Yes,2020-03-26 14:01:00,Austin (TX),Stray,Injured,Cat,Intact Male,731,Pure Breed,Light,2020-03-27 13:16:00,2018-03-26 00:00:00,Intact Male,732,0.0,Orange/White,Domestic Medium Hair,0.7042253521126761,1,1,"(730.0, 731.0]",1
A815792,No,2020-03-26 12:45:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-26 14:16:00,2019-03-26 00:00:00,Unknown,366,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815791,No,2020-03-26 12:03:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-26 14:14:00,2018-03-26 00:00:00,Unknown,731,1.0,Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815789,Yes,2020-03-26 10:43:00,Austin (TX),Stray,Normal,Dog,Spayed Female,366,Pure Breed,Light,2020-03-26 13:05:00,2019-03-26 00:00:00,Spayed Female,366,0.0,White/Black,American Pit Bull Terrier,0.11655011655011654,1,1,"(365.0, 366.0]",0
A815787,No,2020-03-26 10:04:00,Austin (TX),Wildlife,Normal,Bat,Unknown,182,Pure Breed,Light,2020-03-27 08:58:00,2019-09-26 00:00:00,Unknown,183,1.0,Gray/Gray,Bat,0.11655011655011654,0,0,"(155.0, 365.0]",0
A815779,No,2020-03-26 01:30:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-26 08:17:00,2018-03-26 00:00:00,Unknown,731,1.0,Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815776,No,2020-03-25 22:47:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-26 09:02:00,2018-03-25 00:00:00,Unknown,732,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815773,No,2020-03-25 17:18:00,Other,Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-25 17:40:00,2019-03-25 00:00:00,Unknown,366,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815771,No,2020-03-25 23:19:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-26 08:16:00,2018-03-25 00:00:00,Unknown,732,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815768,No,2020-03-25 15:08:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-25 15:20:00,2018-03-25 00:00:00,Unknown,731,1.0,Black/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815767,No,2020-03-25 14:46:00,Austin (TX),Wildlife,Sick,Bat,Unknown,731,Pure Breed,Dark,2020-03-25 15:03:00,2018-03-25 00:00:00,Unknown,731,1.0,Brown,Bat,0.7042253521126761,0,0,"(730.0, 731.0]",1
A815765,No,2020-03-25 13:30:00,Austin (TX),Stray,Injured,Cat,Intact Male,731,Pure Breed,Dark,2020-03-27 09:52:00,2018-03-25 00:00:00,Intact Male,733,1.0,Brown Tabby,Domestic Shorthair,0.7042253521126761,1,1,"(730.0, 731.0]",1
A815763,No,2020-03-25 13:10:00,Travis (TX),Stray,Sick,Dog,Intact Female,731,Pure Breed,Light,2020-03-26 17:44:00,2018-03-25 00:00:00,Intact Female,732,0.0,Tan/White,Chihuahua Shorthair,0.7042253521126761,1,1,"(730.0, 731.0]",1
A815762,No,2020-03-25 11:24:00,Austin (TX),Wildlife,Sick,Other,Unknown,366,Pure Breed,Dark,2020-03-25 11:51:00,2019-03-25 00:00:00,Unknown,366,1.0,Brown,Fox,0.7042253521126761,0,0,"(365.0, 366.0]",1
A815754,No,2020-03-24 21:02:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-25 07:52:00,2019-03-24 00:00:00,Unknown,367,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815753,No,2020-03-24 21:00:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-25 07:50:00,2019-03-24 00:00:00,Unknown,367,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815750,No,2020-03-24 17:55:00,Austin (TX),Wildlife,Sick,Other,Unknown,366,Pure Breed,Dark,2020-03-24 18:54:00,2019-03-24 00:00:00,Unknown,366,1.0,Brown/Black,Raccoon,0.7042253521126761,0,0,"(365.0, 366.0]",1
A815749,No,2020-03-24 17:45:00,Austin (TX),Wildlife,Injured,Bat,Unknown,366,Pure Breed,Dark,2020-03-24 18:52:00,2019-03-24 00:00:00,Unknown,366,1.0,Brown,Bat,0.7042253521126761,0,0,"(365.0, 366.0]",1
A815748,No,2020-03-24 17:13:00,Travis (TX),Stray,Injured,Cat,Intact Male,6,Pure Breed,Dark,2020-03-24 18:32:00,2020-03-18 00:00:00,Intact Male,6,1.0,Brown Tabby,Domestic Shorthair,0.7042253521126761,1,1,"(-1.001, 50.4]",1
A815747,No,2020-03-24 17:13:00,Travis (TX),Stray,Injured,Cat,Intact Male,6,Pure Breed,Dark,2020-03-24 18:31:00,2020-03-18 00:00:00,Intact Male,6,1.0,Brown Tabby,Domestic Shorthair,0.7042253521126761,1,1,"(-1.001, 50.4]",1
A815746,No,2020-03-24 17:13:00,Travis (TX),Stray,Injured,Cat,Intact Male,8,Pure Breed,Light,2020-03-24 18:31:00,2020-03-16 00:00:00,Intact Male,8,0.0,Orange Tabby,Domestic Shorthair,0.7042253521126761,1,1,"(-1.001, 50.4]",1
A815745,No,2020-03-24 17:13:00,Travis (TX),Stray,Injured,Cat,Intact Female,8,Pure Breed,Dark,2020-03-24 18:30:00,2020-03-16 00:00:00,Intact Female,8,0.0,Brown Tabby,Domestic Shorthair,0.7042253521126761,1,1,"(-1.001, 50.4]",1
A815739,Yes,2020-03-24 15:43:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1827,Pure Breed,Dark,2020-03-26 11:14:00,2015-03-24 00:00:00,Intact Female,1829,0.0,Black/Brown,German Shepherd,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A815735,No,2020-03-24 13:45:00,Austin (TX),Wildlife,Sick,Bat,Unknown,366,Pure Breed,Dark,2020-03-24 14:07:00,2019-03-24 00:00:00,Unknown,366,1.0,Black,Bat,0.7042253521126761,0,0,"(365.0, 366.0]",1
A815729,No,2020-03-24 12:22:00,Austin (TX),Wildlife,Sick,Other,Unknown,731,Pure Breed,Dark,2020-03-24 13:44:00,2018-03-24 00:00:00,Unknown,731,1.0,Black/Gray,Raccoon,0.7042253521126761,0,0,"(730.0, 731.0]",1
A815721,No,2020-03-23 23:57:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-24 09:17:00,2019-03-23 00:00:00,Unknown,367,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815716,No,2020-03-23 21:35:00,Austin (TX),Stray,Injured,Cat,Intact Male,1096,Pure Breed,Light,2020-03-24 09:21:00,2017-03-23 00:00:00,Intact Male,1097,1.0,Gray Tabby,Domestic Longhair,0.7042253521126761,1,1,"(1095.0, 1654.2]",1
A815715,No,2020-03-23 19:13:00,Austin (TX),Stray,Nursing,Cat,Intact Male,15,Pure Breed,Light,2020-03-24 11:22:00,2020-03-08 00:00:00,Intact Male,16,0.0,Gray,Domestic Shorthair,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A815714,No,2020-03-23 19:13:00,Austin (TX),Stray,Nursing,Cat,Intact Female,15,Pure Breed,Light,2020-03-24 11:22:00,2020-03-08 00:00:00,Intact Female,16,0.0,Gray,Domestic Shorthair,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A815708,No,2020-03-23 16:35:00,Austin (TX),Stray,Normal,Dog,Intact Female,274,Pure Breed,Dark,2020-03-27 15:05:00,2019-06-23 00:00:00,Intact Female,278,0.0,Brown,Rhod Ridgeback/Redbone Hound,0.11655011655011654,1,1,"(155.0, 365.0]",0
A815688,Yes,2020-03-23 12:21:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1461,Pure Breed,Dark,2020-03-24 14:55:00,2016-03-23 00:00:00,Spayed Female,1462,0.0,Brown/Black,Yorkshire Terrier,0.11655011655011654,1,1,"(1095.0, 1654.2]",0
A815686,Yes,2020-03-23 12:21:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2049,Pure Breed,Dark,2020-03-24 14:53:00,2014-08-13 00:00:00,Neutered Male,2050,0.0,Brown/Black,Yorkshire Terrier,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A815679,No,2020-03-23 10:05:00,Austin (TX),Stray,Normal,Cat,Intact Female,3,Pure Breed,Light,2020-03-23 18:56:00,2020-03-20 00:00:00,Intact Female,3,0.0,White/Gray,Domestic Shorthair,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A815676,No,2020-03-23 08:26:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-23 10:11:00,2018-03-23 00:00:00,Unknown,731,1.0,Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815673,No,2020-03-22 18:30:00,Travis (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2020-03-23 10:15:00,2019-03-22 00:00:00,Unknown,367,1.0,Brown,Bat,0.11655011655011654,0,0,"(365.0, 366.0]",0
A815662,Yes,2020-03-22 14:48:00,Austin (TX),Stray,Normal,Dog,Intact Female,767,Pure Breed,Dark,2020-03-24 14:55:00,2018-02-14 00:00:00,Intact Female,769,0.0,Black/Brown,Rottweiler,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A815658,No,2020-03-22 13:27:00,Travis (TX),Wildlife,Normal,Bat,Intact Male,731,Pure Breed,Dark,2020-03-22 16:15:00,2018-03-22 00:00:00,Intact Male,731,1.0,Black,Bat,0.11655011655011654,1,0,"(730.0, 731.0]",0
A815650,No,2020-03-22 10:42:00,Austin (TX),Stray,Nursing,Cat,Intact Female,5,Pure Breed,Dark,2020-03-22 10:44:00,2020-03-17 00:00:00,Intact Female,5,0.0,Black/White,Domestic Shorthair,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A815640,No,2020-03-21 17:09:00,Austin (TX),Wildlife,Sick,Other,Unknown,731,Pure Breed,Dark,2020-03-22 07:48:00,2018-03-21 00:00:00,Unknown,732,1.0,Black/White,Skunk,0.7042253521126761,0,0,"(730.0, 731.0]",1
A815629,Yes,2020-03-21 12:40:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,213,Pure Breed,Dark,2020-03-22 17:35:00,2019-08-21 00:00:00,Neutered Male,214,0.0,Black,Labrador Retriever,0.11655011655011654,1,1,"(155.0, 365.0]",0
A815621,No,2020-03-21 09:07:00,Austin (TX),Stray,Injured,Cat,Intact Female,731,Pure Breed,Light,2020-03-21 13:53:00,2018-03-21 00:00:00,Intact Female,731,1.0,White/Black,Domestic Shorthair,0.7042253521126761,1,1,"(730.0, 731.0]",1
A815619,No,2020-03-20 20:17:00,Austin (TX),Wildlife,Normal,Bat,Unknown,731,Pure Breed,Dark,2020-03-22 07:47:00,2018-03-20 00:00:00,Unknown,733,1.0,Brown/Brown,Bat,0.11655011655011654,0,0,"(730.0, 731.0]",0
A815618,No,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,363,Pure Breed,Light,2020-03-24 09:55:00,2019-03-23 00:00:00,Intact Female,367,0.0,Red/White,Dachshund Wirehair/Chihuahua Shorthair,0.11655011655011654,1,1,"(155.0, 365.0]",0
A815616,No,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Male,148,Mixed Breed,Light,2020-03-24 09:56:00,2019-10-24 00:00:00,Intact Male,152,0.0,Red/White,Dachshund Wirehair Mix,0.11655011655011654,1,1,"(76.0, 155.0]",0
A815615,No,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,91,Mixed Breed,Light,2020-03-24 09:56:00,2019-12-20 00:00:00,Intact Female,95,0.0,Red/White,Dachshund Mix,0.11655011655011654,1,1,"(76.0, 155.0]",0
A815614,No,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,91,Mixed Breed,Dark,2020-03-24 09:55:00,2019-12-20 00:00:00,Intact Female,95,0.0,Black/Tricolor,Dachshund Mix,0.11655011655011654,1,1,"(76.0, 155.0]",0
A815611,Yes,2020-03-20 17:17:00,Austin (TX),Stray,Injured,Dog,Spayed Female,731,Pure Breed,Light,2020-03-23 18:49:00,2018-03-20 00:00:00,Spayed Female,734,0.0,Buff,Dachshund,0.7042253521126761,1,1,"(730.0, 731.0]",1
